gloss	split	video_id	signer_id	variation_id
book	train	69241	118	0
book	train	65225	90	0
book	train	68011	110	0
book	train	68208	113	0
book	train	68012	109	0
book	train	70266	121	0
book	train	07085	49	0
book	train	07086	49	0
book	train	07087	18	0
book	train	07069	31	0
book	train	07088	18	0
book	train	07089	18	0
book	train	07090	18	0
book	train	07091	18	0
book	train	07068	36	0
book	train	07097	49	0
book	train	07070	59	0
book	train	07071	14	0
book	train	07073	14	0
book	train	67424	109	0
book	train	07074	11	0
book	train	07075	5	0
book	train	07076	5	0
book	train	07077	49	0
book	train	07078	18	0
book	train	07079	49	0
book	train	07080	18	0
book	train	07081	18	0
book	train	07082	18	0
book	train	07084	18	0
drink	train	65539	94	0
drink	train	68660	115	0
drink	train	68041	109	0
drink	train	17725	5	0
drink	train	17726	5	0
drink	train	17727	65	0
drink	train	17728	5	0
drink	train	17710	36	0
drink	train	17729	5	0
drink	train	17731	5	0
drink	train	17732	44	0
drink	train	17733	12	0
drink	train	65540	94	0
drink	train	17711	52	0
drink	train	17712	6	0
drink	train	17714	20	0
drink	train	17715	14	0
drink	train	17717	14	0
drink	train	17709	2	0
drink	train	67594	109	0
drink	train	17719	14	0
drink	train	17720	11	0
drink	train	17721	10	0
drink	train	17722	10	0
drink	train	17723	10	0
computer	train	68028	109	0
computer	train	69054	113	0
computer	train	12328	11	1
computer	train	12329	5	1
computer	train	12330	5	1
computer	train	12331	5	0
computer	train	12311	56	1
computer	train	12337	72	1
computer	train	12338	41	1
computer	train	12313	38	1
computer	train	12314	4	0
computer	train	12316	4	2
computer	train	12317	4	2
computer	train	12318	4	0
computer	train	12319	45	2
computer	train	12321	20	0
computer	train	12322	20	0
computer	train	12323	20	2
computer	train	12324	14	1
computer	train	12327	11	2
before	train	05724	9	0
before	train	70348	121	0
before	train	68007	109	0
before	train	05744	5	1
before	train	05728	32	0
before	train	05747	5	1
before	train	05748	24	1
before	train	05749	12	0
before	train	05729	46	1
before	train	05730	32	1
before	train	65167	88	1
before	train	05731	4	0
before	train	05732	13	0
before	train	05733	13	1
before	train	05734	13	0
before	train	05740	10	1
before	train	05742	11	0
before	train	05743	11	0
