gloss	split	video_id	signer_id	variation_id
computer	train	12328	11	1
computer	train	12329	5	1
computer	train	12330	5	1
computer	train	12338	41	1
computer	train	12313	38	1
computer	train	12324	14	1
computer	train	12315	4	1
computer	train	12333	5	1
go	train	68292	113	0
go	train	24955	10	0
go	train	24956	10	0
go	train	24941	36	0
go	train	24965	65	0
go	train	24969	5	0
go	train	24970	5	0
go	train	24971	65	0
go	train	65824	94	0
go	train	24973	41	0
go	train	24943	52	0
clothes	train	68870	115	0
clothes	train	68024	110	0
clothes	train	11327	72	0
clothes	train	11310	38	0
clothes	train	11330	12	0
clothes	train	11309	42	0
clothes	train	11316	5	0
clothes	train	11317	72	0
clothes	train	11320	72	0
clothes	train	11324	72	0
clothes	train	11326	72	0
who	train	69534	118	0
who	train	68890	115	0
who	train	68183	111	0
who	train	63239	5	0
who	train	63241	87	0
who	train	63227	6	0
who	train	63231	13	0
who	train	66778	88	0
who	train	66779	88	0
who	train	63225	42	0
who	train	63236	11	0

